AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact,Procrastination_num,StudyDelay_num,CourseworkDistraction_num,Procrastination_Index,ImpactOrder
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes,Often ,Not at all,Significantly ,Rarely ,Sometimes ,Often ,Always,Always ,Rarely ,Slightly ,tiktok,Sometimes ,Significantly ,4,8,1,4.333333333333333,4
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Always ,Moderately,Significantly ,Always ,Always ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Always ,Significantly ,facebook,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Significantly ,snapchat,Sometimes ,Slightly ,6,4,5,5.0,2
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes,Often ,Not at all,Significantly ,Rarely ,Sometimes ,Often ,Always,Always ,Rarely ,Slightly ,tiktok,Sometimes ,Significantly ,4,8,1,4.333333333333333,4
25–34,Other ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,snapchat,Always ,Slightly ,8,8,7,7.666666666666667,2
18–24,Male ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Moderately ,youtube,Often ,Moderately ,6,8,5,6.333333333333333,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Moderately,Significantly ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,linkedin,Always ,Moderately ,6,8,5,6.333333333333333,3
25–34,Other ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Always ,Often ,Significantly ,snapchat,Always ,Slightly ,8,8,7,7.666666666666667,2
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Often ,Always,Often ,Often ,Significantly ,tiktok,Always ,Slightly ,6,8,5,6.333333333333333,2
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Often ,Sometimes ,Rarely ,Sometimes,Often ,Rarely ,Moderately ,facebook,Always ,Significantly ,4,4,3,3.6666666666666665,4
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Rarely ,Moderately ,facebook,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Often ,Moderately,Slightly ,Sometimes ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Slightly ,twitter,Rarely ,Slightly ,4,2,5,3.6666666666666665,2
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Rarely ,Sometimes ,Often ,Sometimes,Rarely ,Sometimes ,Significantly ,facebook,Always ,Slightly ,4,4,3,3.6666666666666665,2
Below 18,Female ,1–3 hours ,Often ,Significantly ,Often,Often ,Slightly,Moderately ,Sometimes ,Always ,Always ,Often,Always ,Rarely ,Significantly ,facebook,Often ,Slightly ,6,6,3,5.0,2
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Often ,Moderately ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Sometimes ,Significantly ,facebook,Always ,Moderately ,8,6,5,6.333333333333333,3
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,linkedin,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Often ,Sometimes ,Often ,Always,Always ,Sometimes ,Significantly ,instagram,Often ,Moderately ,4,8,7,6.333333333333333,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Slightly ,6,6,5,5.666666666666667,2
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,instagram,Sometimes ,Moderately ,4,4,3,3.6666666666666665,3
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Often ,Sometimes ,Often ,Always,Always ,Sometimes ,Significantly ,instagram,Often ,Moderately ,4,8,7,6.333333333333333,3
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Rarely ,Rarely ,Sometimes ,Often,Sometimes ,Sometimes ,Moderately ,others,Sometimes ,Moderately ,4,6,5,5.0,3
18–24,Male ,1–3 hours ,Always ,Significantly ,Often,Often ,Moderately,Significantly ,Often ,Always ,Often ,Often,Always ,Often ,Moderately ,snapchat,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Always,Always ,Often ,Moderately ,tiktok,Often ,Significantly ,6,8,7,7.0,4
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes,Always ,Often ,Not at all ,instagram,Rarely ,Moderately ,2,4,1,2.3333333333333335,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,linkedin,Often ,Moderately ,6,8,7,7.0,3
25–34,Male ,1–3 hours ,Often ,Moderately ,Often,Sometimes ,Slightly,Slightly ,Sometimes ,Often ,Often ,Sometimes,Sometimes ,Often ,Slightly ,facebook,Sometimes ,Slightly ,6,4,3,4.333333333333333,2
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Rarely ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,2,2,3,2.3333333333333335,2
25–34,Female ,More than 3 hours ,Often ,Not at all ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely,Sometimes ,Often ,Not at all ,facebook,Sometimes ,Slightly ,4,2,3,3.0,2
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Moderately,Significantly ,Often ,Often ,Often ,Always,Always ,Always ,Moderately ,facebook,Always ,Significantly ,6,8,5,6.333333333333333,4
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Always,Always ,Often ,Moderately ,tiktok,Often ,Significantly ,6,8,7,7.0,4
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Always,Sometimes ,Not at all,Significantly ,Always ,Sometimes ,Always ,Always,Sometimes ,Often ,Significantly ,facebook,Often ,Moderately ,8,8,1,5.666666666666667,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Often ,Often ,Moderately ,facebook,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,1–3 hours ,Always ,Slightly ,Sometimes,Sometimes ,Moderately,Moderately ,Often ,Often ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,1–3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Often ,Significantly ,youtube,Always ,Significantly ,8,8,7,7.666666666666667,4
Below 18,Male ,More than 3 hours ,Sometimes ,Significantly ,Often,Always ,Moderately,Significantly ,Often ,Always ,Always ,Always,Always ,Always ,Significantly ,snapchat,Often ,Significantly ,6,8,5,6.333333333333333,4
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Sometimes ,Often ,Often ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often,Sometimes ,Not at all,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Sometimes ,Sometimes ,Moderately ,youtube,Often ,Not at all ,6,2,1,3.0,1
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often,Always ,Significantly,Significantly ,Always ,Often ,Often ,Often,Sometimes ,Often ,Significantly ,facebook,Often ,Significantly ,6,6,7,6.333333333333333,4
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,1–3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Often ,Sometimes ,Often ,Often,Often ,Often ,Significantly ,facebook,Sometimes ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Significantly ,facebook,Often ,Moderately ,4,4,3,3.6666666666666665,3
18–24,Female ,More than 3 hours ,Often ,Moderately ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Often ,Sometimes ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Always ,Often ,Significantly ,facebook,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often,Sometimes ,Moderately,Slightly ,Often ,Often ,Often ,Sometimes,Often ,Sometimes ,Moderately ,facebook,Often ,Moderately ,6,4,5,5.0,3
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,others,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Often ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,1–3 hours ,Often ,Moderately ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Often ,Sometimes,Rarely ,Sometimes ,Moderately ,youtube,Often ,Moderately ,2,4,3,3.0,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,linkedin,Often ,Moderately ,6,8,7,7.0,3
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often,Always ,Moderately,Significantly ,Sometimes ,Always ,Often ,Often,Always ,Sometimes ,Significantly ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Moderately ,8,6,5,6.333333333333333,3
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Often,Sometimes ,Always ,Significantly ,youtube,Often ,Significantly ,8,6,7,7.0,4
Below 18,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,youtube,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Often ,Slightly ,4,2,3,3.0,2
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Often ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often,Always ,Significantly,Moderately ,Often ,Often ,Often ,Often,Always ,Often ,Moderately ,instagram,Often ,Moderately ,6,6,7,6.333333333333333,3
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Often ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Moderately ,facebook,Always ,Significantly ,4,8,7,6.333333333333333,4
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Sometimes ,Often,Sometimes ,Sometimes ,Slightly ,linkedin,Often ,Slightly ,4,6,3,4.333333333333333,2
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes,Always ,Sometimes ,Significantly ,tiktok,Sometimes ,Moderately ,4,4,5,4.333333333333333,3
18–24,Female ,More than 3 hours ,Sometimes ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely,Often ,Often ,Not at all ,facebook,Often ,Not at all ,2,2,1,1.6666666666666667,1
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Often ,Slightly ,4,2,3,3.0,2
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Moderately,Moderately ,Always ,Often ,Often ,Often,Always ,Often ,Moderately ,facebook,Often ,Significantly ,8,6,5,6.333333333333333,4
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes,Sometimes ,Moderately,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Not at all ,youtube,Sometimes ,Slightly ,4,4,5,4.333333333333333,2
18–24,Female ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,youtube,Always ,Moderately ,8,8,7,7.666666666666667,3
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,4,5,5.0,4
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes,Often ,Often ,Moderately ,facebook,Sometimes ,Moderately ,6,4,5,5.0,3
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often,Often ,Moderately,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Moderately ,facebook,Often ,Moderately ,6,4,5,5.0,3
Below 18,Male ,More than 3 hours ,Often ,Slightly ,Often,Sometimes ,Moderately,Moderately ,Sometimes ,Sometimes ,Always ,Often,Sometimes ,Sometimes ,Slightly ,instagram,Sometimes ,Significantly ,6,6,5,5.666666666666667,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Significantly ,Always ,Always ,Always ,Always,Often ,Always ,Significantly ,youtube,Sometimes ,Significantly ,8,8,7,7.666666666666667,4
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often,Often ,Significantly,Significantly ,Sometimes ,Often ,Always ,Often,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,7,6.333333333333333,3
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes,Sometimes ,Moderately,Moderately ,Rarely ,Rarely ,Sometimes ,Often,Sometimes ,Sometimes ,Moderately ,others,Sometimes ,Moderately ,4,6,5,5.0,3
Below 18,Male ,1–3 hours ,Sometimes ,Moderately ,Often,Often ,Moderately,Moderately ,Often ,Always ,Rarely ,Rarely,Often ,Sometimes ,Slightly ,tiktok,Sometimes ,Not at all ,6,2,5,4.333333333333333,1
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes,Rarely ,Not at all,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Often ,Slightly ,snapchat,Sometimes ,Not at all ,4,4,1,3.0,1
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,tiktok,Sometimes ,Slightly ,4,2,3,3.0,2
25–34,Male ,More than 3 hours ,Always ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Often ,Often ,Always,Often ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,8,7,7.0,4
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often,Often ,Significantly,Significantly ,Sometimes ,Often ,Always ,Often,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Moderately ,6,6,7,6.333333333333333,3
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Sometimes ,Rarely ,Slightly ,others,Rarely ,Slightly ,4,2,3,3.0,2
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often,Always ,Moderately,Moderately ,Often ,Often ,Always ,Always,Always ,Often ,Significantly ,facebook,Always ,Moderately ,6,8,5,6.333333333333333,3
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely,Rarely ,Not at all,Not at all ,Rarely ,Rarely ,Rarely ,Rarely,Rarely ,Rarely ,Not at all ,facebook,Rarely ,Not at all ,2,2,1,1.6666666666666667,1
25–34,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,linkedin,Rarely ,Slightly ,4,4,3,3.6666666666666665,2
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely,Rarely ,Slightly,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Rarely ,Sometimes ,Slightly ,facebook,Rarely ,Slightly ,2,4,3,3.0,2
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes,Sometimes ,Slightly,Slightly ,Often ,Often ,Sometimes ,Often,Sometimes ,Sometimes ,Slightly ,linkedin,Often ,Slightly ,4,6,3,4.333333333333333,2
18–24,Male ,1–3 hours ,Rarely ,Significantly ,Often,Often ,Significantly,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,4,7,5.666666666666667,3
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often,Sometimes ,Moderately,Significantly ,Rarely ,Rarely ,Often ,Often,Often ,Often ,Significantly ,facebook,Rarely ,Moderately ,6,6,5,5.666666666666667,3
Below 18,Male ,Less than 1 hour ,Sometimes ,Moderately ,Always,Often ,Not at all,Slightly ,Rarely ,Rarely ,Often ,Often,Sometimes ,Often ,Slightly ,facebook,Rarely ,Not at all ,8,6,1,5.0,1
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often,Sometimes ,Moderately,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes,Sometimes ,Often ,Significantly ,facebook,Sometimes ,Significantly ,6,4,5,5.0,4
Below 18,Female ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Significantly ,Often ,Always ,Always ,Always,Always ,Often ,Slightly ,tiktok,Always ,Significantly ,8,8,7,7.666666666666667,4
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Always ,Often ,Often,Always ,Always ,Significantly ,tiktok,Often ,Moderately ,8,6,7,7.0,3
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often,Sometimes ,Moderately,Significantly ,Always ,Sometimes ,Rarely ,Often,Sometimes ,Sometimes ,Significantly ,youtube,Sometimes ,Not at all ,6,6,5,5.666666666666667,1
18–24,Male ,Less than 1 hour ,Rarely ,Moderately ,Rarely,Sometimes ,Slightly,Slightly ,Often ,Rarely ,Sometimes ,Rarely,Often ,Sometimes ,Significantly ,facebook,Sometimes ,Slightly ,2,2,3,2.3333333333333335,2
25–34,Female ,Less than 1 hour ,Rarely ,Slightly ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Sometimes ,Sometimes ,Slightly ,twitter,Sometimes ,Slightly ,2,4,3,3.0,2
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely,Sometimes ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely,Rarely ,Sometimes ,Slightly ,tiktok,Sometimes ,Slightly ,2,2,3,2.3333333333333335,2
18–24,Male ,More than 3 hours ,Rarely ,Slightly ,Sometimes,Rarely ,Slightly,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes,Rarely ,Rarely ,Slightly ,facebook,Sometimes ,Slightly ,4,4,3,3.6666666666666665,2
25–34,Male ,More than 3 hours ,Often ,Significantly ,Often,Always ,Moderately,Significantly ,Always ,Often ,Often ,Often,Often ,Often ,Moderately ,others,Always ,Significantly ,6,6,5,5.666666666666667,4
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always,Always ,Significantly,Moderately ,Often ,Often ,Always ,Often,Often ,Often ,Significantly ,snapchat,Always ,Moderately ,8,6,7,7.0,3
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often,Often ,Moderately,Significantly ,Often ,Sometimes ,Often ,Often,Often ,Often ,Moderately ,facebook,Often ,Moderately ,6,6,5,5.666666666666667,3
